Entry,Majority protein IDs,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
Q9H8V3,sp|Q9H8V3|ECT2_HUMAN,9,4,2,0.68143,1.0708,0.85851,-0.20050371192826916,0.31319352208101364,0.41509081569220174
Q9H8W3,sp|Q9H8W3|F204A_HUMAN,3,1,4,1.5707,1.7066,1.1581,0.5641017169943845,0.04406272284569404,
Q9H910,sp|Q9H910|JUPI2_HUMAN,4,7,6,2.3662,2.1095,1.8963,1.0867837661420667,0.0011643252782977185,0.008686651514490844
Q9H967,sp|Q9H967|WDR76_HUMAN,2,0,0,0.9259,,,,,
Q9H9A6,sp|Q9H9A6|LRC40_HUMAN,9,4,2,0.94341,0.96641,0.79967,-0.14694117818737185,0.1370108410214605,0.21567852268613
Q9H9B1,sp|Q9H9B1|EHMT1_HUMAN,3,2,1,,0.88611,,,,
Q9H9B4,sp|Q9H9B4|SFXN1_HUMAN,5,7,8,0.62687,0.73232,0.87383,-0.42596632803295864,0.0233034875937864,0.0614028403264848
Q9H9J4,sp|Q9H9J4|UBP42_HUMAN,2,4,2,,1.5446,1.0607,,,
Q9H9L3,sp|Q9H9L3|I20L2_HUMAN,10,14,13,1.746,1.619,2.0347,0.8479167546039925,0.002883885094082474,0.01582561737579143
Q9H9S3,sp|Q9H9S3|S61A2_HUMAN,1,0,0,,,,,,
Q9H9Y6,sp|Q9H9Y6|RPA2_HUMAN,1,0,0,,,,,,
Q9HAS0,sp|Q9HAS0|NJMU_HUMAN,1,0,0,,,,,,
Q9HAU5,sp|Q9HAU5|RENT2_HUMAN,1,1,0,,,,,,
Q9HAV4,sp|Q9HAV4|XPO5_HUMAN,5,6,7,1.229,1.3994,0.95649,0.2569663507334378,0.20518773273524257,0.29554154997006743
Q9HAW4,sp|Q9HAW4|CLSPN_HUMAN,0,1,1,,,,,,
Q9HB71,sp|Q9HB71|CYBP_HUMAN,0,3,3,,1.4107,1.3316,,,
Q9HBE1,sp|Q9HBE1|PATZ1_HUMAN,1,0,0,,,,,,
Q9HBM6,sp|Q9HBM6|TAF9B_HUMAN,1,0,1,,,,,,
Q9HC36,sp|Q9HC36|MRM3_HUMAN,1,1,1,0.81423,0.74202,0.85583,-0.3146847436948955,0.004143443297725071,
Q9HCG8,sp|Q9HCG8|CWC22_HUMAN,2,2,1,0.74631,1.457,,,,
Q9HCJ3,sp|Q9HCJ3|RAVR2_HUMAN,0,0,1,,,,,,
Q9HCS7,sp|Q9HCS7|SYF1_HUMAN,19,17,18,0.46629,0.48157,0.52315,-1.0281554465815939,7.353702566479556e-06,0.0006103573130178031
Q9HD45,sp|Q9HD45|TM9S3_HUMAN,2,2,2,,,3.0059,,,
Q9NP64,sp|Q9NP64|ZCC17_HUMAN,2,2,2,,1.067,1.2281,,,
Q9NPD8,sp|Q9NPD8|UBE2T_HUMAN,1,3,1,,2.3198,,,,
Q9NPF5,sp|Q9NPF5|DMAP1_HUMAN,2,0,0,,,,,,
Q9NPI1,sp|Q9NPI1|BRD7_HUMAN,5,4,2,1.0509,1.5701,2.0911,0.6514076555892455,0.13015485694241644,0.2082477711078663
Q9NPQ8,sp|Q9NPQ8|RIC8A_HUMAN,2,0,1,,,,,,
Q9NQ29,sp|Q9NQ29|LUC7L_HUMAN,1,0,0,,,,,,
Q9NQ55,sp|Q9NQ55|SSF1_HUMAN,6,8,8,1.1304,1.083,1.2927,0.22490464410609018,0.056565332824490853,0.11347245013734722
Q9NQS7,sp|Q9NQS7|INCE_HUMAN,20,22,20,0.70938,0.63223,0.6106,-0.6198542481979602,0.000310298173388354,0.004292458065205564
Q9NQZ2,sp|Q9NQZ2|SAS10_HUMAN,7,9,10,1.6168,1.3044,1.6181,0.5975073376780045,0.007946036139532946,0.027923621373719256
